date,game_id,home_team,away_team,home_score,away_score,home_win,total_runs,home_pitcher,home_pitcher_era,home_pitcher_whip,home_bullpen_era,home_ops,home_avg,home_slg,home_era,home_whip,home_last5,away_pitcher,away_pitcher_era,away_pitcher_whip,away_bullpen_era,away_ops,away_avg,away_slg,away_era,away_whip,away_last5
2025-07-12,777136,Kansas City Royals,New York Mets,1,3,0,4,Sam Long,9.82,2.0422535211267605,,0.673,0.244,0.374,3.5,0.7777777777777778,,Austin Warren,1.69,1.1764705882352942,,0.738,0.243,0.415,3.56,0.6666666666666666,
2025-07-12,777138,Chicago White Sox,Cleveland Guardians,2,6,0,8,Steven Wilson,2.15,1.3058419243986255,3.5437499999999997,0.637,0.22,0.342,4.15,1.3333333333333333,,Emmanuel Clase,3.05,1.289537712895377,3.6288888888888895,0.662,0.223,0.367,3.91,0.8888888888888888,
2025-07-12,777135,Milwaukee Brewers,Washington Nationals,6,5,1,11,Tobias Myers,4.95,1.8,,0.706,0.248,0.383,3.69,1.5555555555555556,,Shinnosuke Ogasawara,9.45,1.9354838709677418,,0.703,0.246,0.391,5.2,1.4814814814814816,
2025-07-12,777137,Houston Astros,Texas Rangers,5,4,1,9,Framber Valdez,2.75,1.1239669421487604,,0.735,0.259,0.411,3.59,0.7272727272727273,,Shawn Armstrong,3.32,0.9203980099502487,,0.674,0.232,0.374,3.31,1.0891089108910892,
2025-07-12,777126,San Diego Padres,Philadelphia Phillies,5,4,1,9,Yuki Matsui,5.05,1.4488636363636362,,0.69,0.245,0.375,3.67,1.4444444444444444,,Jesús Luzardo,4.14,1.4121037463976946,,0.736,0.256,0.406,3.67,1.125,
2025-07-12,777131,Los Angeles Angels,Arizona Diamondbacks,10,5,1,15,Connor Brogdon,4.97,1.195219123505976,,0.713,0.233,0.411,4.67,1.3333333333333333,,Eduardo Rodriguez,5.94,1.6729088639201,,0.774,0.251,0.446,4.69,2.125,
2025-07-12,777132,Athletics,Toronto Blue Jays,4,3,1,7,Luis Severino,5.16,1.4146772767462423,4.49875,0.731,0.249,0.415,5.22,1.2222222222222223,"L, W, L, W, W",Tommy Nance,0.0,1.0,3.867777777777778,0.736,0.259,0.405,4.14,1.375,"W, L, W, L, L"
2025-07-12,777144,Boston Red Sox,Tampa Bay Rays,1,0,1,1,Walker Buehler,6.12,1.564102564102564,,0.759,0.256,0.433,3.82,0.3333333333333333,,Taj Bradley,4.6,1.2790697674418605,,0.727,0.258,0.407,3.78,1.0,
2025-07-11,777147,St. Louis Cardinals,Atlanta Braves,5,6,0,11,Matt Svanson,3.12,0.8076923076923077,,0.715,0.252,0.393,4.09,1.5555555555555556,,Spencer Strider,3.94,1.1764705882352942,,0.703,0.242,0.388,3.84,1.5555555555555556,
2025-07-11,777151,Kansas City Royals,New York Mets,3,8,0,11,Sam Long,10.29,2.0,,0.676,0.245,0.376,3.51,1.7777777777777777,,Austin Warren,1.69,1.1764705882352942,,0.74,0.244,0.416,3.59,1.3333333333333333,
2025-07-11,777146,Chicago White Sox,Cleveland Guardians,5,4,1,9,Steven Wilson,1.59,1.2455516014234875,,0.639,0.22,0.344,4.13,1.3636363636363635,,Nic Enright,1.88,0.9929078014184397,,0.662,0.223,0.367,3.93,1.5841584158415842,
2025-07-11,777157,Baltimore Orioles,Miami Marlins,5,2,1,7,Dean Kremer,4.24,1.2765957446808511,,0.706,0.24,0.4,4.84,0.6666666666666666,,Lake Bachar,3.02,1.1312217194570136,,0.699,0.251,0.386,4.67,1.75,
